# Name A Z vi ni/nH|CR mip eH mia eHe (ref. Gaisser and Schaefer 1992)
H 1 1 1 1.0 1 1 3.57 3.57
He 4 2 1.27 0.042 3.57 0.150 12.6 0.53
Li 7 3 1.28 2.3e-4 6.1 0.0014 22 0.005
Be 9 4 1.39 1.2e-4 7.7 0.0009 22 0.004
B 11 5 1.48 3.6e-4 9.0 0.0032 32 0.011
C 12 6 1.52 1.2e-3 9.9 0.0119 36 0.043
N 14 7 1.58 3.2e-4 11.4 0.0036 40 0.013
O 16 8 1.64 1.0e-3 12.9 0.0129 47 0.047
F 19 9 1.73 2.3e-5 15 0.0003 52 0.001
Ne 20 10 1.76 1.7e-4 16 0.0027 55 0.009
Na 23 11 1.82 3.6e-5 18 0.0006 62 0.002
Mg 24 12 1.86 4.2e-5 19 0.0008 64 0.003
Al 27 13 1.92 3.8e-5 20 0.0008 71 0.003
Si 28 14 1.94 1.7e-4 21 0.0036 73 0.012
P 31 15 2.00 1.0e-5 23 0.0002 80 0.001
S 32 16 2.02 3.3e-5 24 0.0008 82 0.003
Cl 35 17 2.08 8.0e-6 26 0.0002 90 0.001
Ar 40 18 2.16 1.4e-5 29 0.0004 100 0.001
K 39 19 2.14 1.1e-5 29 0.0003 98 0.001
Ca 40 20 2.16 2.2e-5 29 0.0006 100 0.002
Sc 45 21 2.24 5.6e-6 32 0.0002 111 0.001
Ti 48 22 2.28 1.5e-5 34 0.0005 118 0.002
V 51 23 2.32 7.8e-6 36 0.0003 124 0.001
Cr 52 24 2.34 1.5e-5 37 0.0006 126 0.002
Mn 55 25 2.38 1.1e-5 39 0.0004 133 0.002
Fe 56 26 2.39 1.1e-4 40 0.0044 135 0.015
