# R1[GV] R2[GV] F[/m^2/s/sr/GV] dF
0.76 0.91 32 16
0.91 1.10 48.9 2.9
1.10 1.32 58.4 3.2
1.32 1.58 62.8 3.4
1.58 1.91 63.9 3.5
1.91 2.29 58.2 3.2
2.29 2.75 49.4 2.7
2.75 3.31 39.6 2.1
3.31 3.98 30.8 1.7
3.98 4.79 22.6 1.2
4.79 5.75 159.e-1 8.6e-1
5.75 6.92 110.e-1 5.9e-1
6.92 8.32 72.8e-1 3.9e-1
8.32 10.00 47.1e-1 2.5e-1
10.00 12.02 29.9e-1 1.6e-1
12.02 14.45 18.9e-1 1.0e-1
14.45 17.38 119.e-2 6.4e-2
17.38 20.89 73.7e-2 4.0e-2
20.89 25.12 47.0e-2 2.6e-2
25.12 30.20 28.9e-2 1.6e-2
30.20 36.31 172.e-3 9.4e-3
36.31 43.65 101.e-3 5.6e-3
43.65 52.48 63.2e-3 3.5e-3
52.48 63.10 38.0e-3 2.1e-3
63.10 75.86 22.2e-3 1.2e-3
75.86 91.20 137.e-4 8.0e-4
91.20 109.65 82.9e-4 5.0e-4
109.65 131.83 49.1e-4 3.3e-4
131.83 158.49 27.8e-4 1.9e-4
158.49 190.55 16.5e-4 1.4e-4
190.55 229.09 118.e-5 8.0e-5
