#Ek1[GeV] Ek2[GeV] F[/m^2/s/sr/GeV] dF
0.20 0.24 4.6 2.1
0.24 0.30 7.1 2.0
0.30 0.365 12.6 2.6
0.365 0.45 18.1 2.4
0.45 0.55 21.4 2.6
0.55 0.68 26.3 2.2
0.68 0.83 26.7 2.1
0.83 1.02 25.1 1.7
1.02 1.24 23.6 1.6
1.24 1.52 19.1 1.0
1.52 1.87 15.1 0.86
1.87 2.29 10.6 0.60
2.29 2.80 7.75 0.26
2.80 3.44 4.10 0.15
3.44 4.21 2.88 0.10
4.21 5.16 1.65 0.069
5.16 6.32 1.00 0.041
6.32 7.75 0.513 0.023
7.75 9.50 0.288 0.014
9.50 11.6 0.148 0.0081
11.6 14.3 0.0745 0.0060
14.3 17.5 0.0370 0.0025
17.5 21.4 0.0163 0.0019
21.4 26.2 0.0105 0.0012
26.2 32.1 0.00490 0.00093
32.1 39.4 0.00234 0.00081
