#Ek1[GeV] Ek2[GeV] F[/m^2/s/sr/MeV] dF1 dF2 dF3 dF4 scale
0.22 0.31 154. 1.6 5.9 4.0 1.9 1e-2
0.31 0.44 156. .99 6.0 3.8 1.3 1e-2
0.44 0.62 143. .59 6.0 3.6 1.0 1e-2
0.62 0.85 120. .39 4.6 3.1 .82 1e-2
0.85 1.15 966. 2.6 37. 24. 6.7 1e-3
1.15 1.54 738. 1.8 28. 18. 5.1 1e-3
1.54 2.02 533. 1.2 20. 13. 3.4 1e-3
2.02 2.62 372. .80 14. 8.9 2.7 1e-3
2.62 3.38 247. .53 9.5 5.8 1.8 1e-3
3.38 4.31 161. .33 6.2 3.7 1.3 1e-3
4.31 5.45 101. .20 3.9 2.3 .74 1e-3
5.45 6.86 630. 1.3 24. 14. 5.2 1e-4
6.86 8.60 378. .84 14. 8.6 3.3 1e-4
8.60 10.7 226. .54 8.7 5.2 2.0 1e-4
10.7 13.3 135. .36 5.2 3.1 1.5 1e-4
13.3 16.5 786. 2.3 30. 18. 10. 1e-5
16.5 20.5 449. 1.5 17. 11. 6.6 1e-5
20.5 25.3 266. .98 10. 6.4 4.3 1e-5
25.3 31.2 148. .61 5.7 3.7 2.7 1e-5
31.2 38.4 856. 4.0 33. 22. 16. 1e-6
38.4 47.3 496. 2.7 19. 13. 9.2 1e-6
47.3 58.2 284. 1.8 11. 7.9 5.7 1e-6
58.2 71.5 154. 1.2 5.9 4.4 3.0 1e-6
71.5 87.8 86.2 .80 3.3 2.4 1.7 1e-6
87.8 108. 49.4 .55 1.9 1.3 .94 1e-6
108. 132. 29.0 .40 1.1 .78 1.1 1e-6
132. 162. 16.4 .27 .63 .44 .80 1e-6
162. 199. 9.39 .18 .36 .25 1.0 1e-6
