# $Id: panov2007_alpha.dat,v 1.2 2010/02/27 04:19:04 oxon Exp $
# E1[GeV/particle] E2[GeV/particle] E[GeV/particle] F[/m^2/sr/s/(GeV/particle)] dF
39.8 63.1 49.2 0.173 0.00217
63.1 100 77.9 0.0514 0.000282
100 158 123 0.0152 0.000103
158 251 196 0.0046 2.58e-5
251 398 310 0.00141 1.05e-5
398 631 492 0.000434 5.02e-6
631 1e3 779 0.000132 2.18e-6
1e3 1.58e3 1.23e3 3.89e-5 1.01e-6
1.58e3 2.51e3 1.96e3 1.2e-5 3.67e-7
2.51e3 3.98e3 3.1e3 3.92e-6 1.58e-7
3.98e3 6.31e3 4.92e3 1.25e-6 8.98e-8
6.31e3 1e4 7.79e3 4.14e-7 3.18e-8
1e4 1.58e4 1.23e4 1.35e-7 1.62e-8
1.58e4 2.51e4 1.96e4 3.28e-8 6.05e-9
2.51e4 3.98e4 3.1e4 9.06e-9 2.59e-9
