# $Id: panov2007_proton.dat,v 1.2 2010/02/27 04:19:04 oxon Exp $
# E1[GeV] E2[GeV] E[GeV] F[/m^2/sr/s/GeV] dF
39.8 63.1 49.2 0.321 0.00319 
63.1 100 77.9 0.089 0.000525
100 158 123 0.025 0.000132
158 251 196 0.00707 4.71e-5
251 398 310 0.00201 1.85e-5
398 631 492 0.000595 6.85e-6
631 1e3 779 0.000178 3.49e-6
1e3 1.58e3 1.23e3 5.24e-5 1.37e-6
1.58e3 2.51e3 1.96e3 1.58e-5 4.96e-7
2.51e3 3.98e3 3.1e3 4.83e-6 2.28e-7
3.98e3 6.31e3 4.92e3 1.4e-6 1.01e-7
6.31e3 1e4 7.79e3 4.23e-7 3.9e-8 
1e4 1.58e4 1.23e4 1.37e-7 1.54e-8
1.58e4 2.51e4 1.96e4 3.89e-8 7.01e-9
2.51e4 3.98e4 3.1e4 9.16e-9 2.48e-9
