# $Id: menn2000_proton.dat,v 1.1 2009/05/25 17:55:40 oxon Exp $
#E1[GeV] E2[GeV] E[GeV] F[/m^2/sr/s/GeV] dF1 dF2
0.18  0.20 0.19 6.51 0.09 1.35 2
0.20  0.23 0.21 7.15 0.08 1.24 2
0.23  0.27 0.25 8.01 0.08 1.07 2
0.27  0.33 0.30 8.45 0.07 0.83 2
0.33  0.40 0.36 8.92 0.06 0.68 2
0.40  0.50 0.45 8.48 0.05 0.57 2
0.50  0.63 0.56 7.93 0.05 0.51 2
0.63  0.80 0.71 7.15 0.04 0.46 2
0.80 1.02 0.91 6.22 0.03 0.39 2
1.02 1.31 1.16 5.19 0.03 0.33 2
1.31 1.68 1.48 4.25 0.02 0.27 2
1.68 2.15 1.90 3.24 0.02 0.21 2
2.15 2.77 2.44 2.37 0.01 0.15 2
2.77 3.56 3.14 1.61 0.01 0.10 2
3.56  4.59 4.04 1.05 0.01 0.07 2
4.59 5.91 5.19 6.56 0.05 0.42 1
5.91 7.62 6.69 4.00 0.03 0.25 1
7.62 9.82 8.61 2.33 0.02 0.15 1
9.8 12.7 11.1 1.29 0.01 0.08 1
12.7 16.3 14.3 7.04 0.09 0.44 0
16.3 21.0 18.4 3.78 0.06 0.24 0
21.0 27.1 23.8 2.10 0.04 0.13 0
27.1 35.0 30.7 1.06 0.02 0.07 0
35.0  45.1 39.6 5.34 0.15 0.33 -1
45.1 58.2 50.9 3.01 0.10 0.19 -1
58.2 75.1 65.7 1.43 0.06 0.09 -1
75.1 96.8 84.8 7.49 0.37 0.47 -2
97 125 109 4.22 0.24 0.27 -2
125 161 140 2.03 0.15 0.13 -2
161 208 181 9.85 0.88 0.68 -3
