# $Id: chang2008_electron.dat,v 1.1 2010/02/27 04:19:04 oxon Exp $
# E1[GeV] E2[GeV] E[GeV] deltaE[GeV] FE^3[GeV^3/m^2/sr/s/GeV] F1 F2
20 30 24.0000 9.60000 172.182 198.001 146.355
30 40 34.2857 9.79592 154.367 169.80 138.93
40 50 44.4444 9.87654 145.576 152.855 138.30
50 60 54.5455 9.91736 139.983 143.445  136.604
60 70 64.6154 9.94083 133.075 137.376 128.907
70 80 74.6667 9.95555 136.165 141.591 130.945
80 90 84.7059 9.96540 143.338 150.105 136.871
90 100 94.7368 9.97230 160.089 168.628 151.976
100 150 120.00  48.000 156.595 161.955 151.411
150 200 171.429 48.9796 155.417 164.559 146.774
200 250 222.222 49.3827 147.049 160.317 134.853
250 300 272.727 49.5868 140.417 158.346 124.454
300 350 323.077 49.7042 190.977 219.019 166.398
350 400 373.333 49.7778 239.875 279.854 205.385
400 500 444.444 98.7654 202.677 236.061 173.832
500 600 545.454 99.1735 267.322 321.699 221.726
600 700 646.154 99.4083 166.146 223.976 122.326
700 800 746.667 99.5556 139.355 209.032 91.216
800 1000 888.889 197.531 73.2939 117.829 44.285
1000 2000 1333.33 888.889 85.1556 124.538 57.350
2000 3000 2400.0 960.00 22.4505 74.087 3.884
