#E1[GeV/n] E2[GeV/n] E[GeV/n] F[/m^2/sr/s/(GeV/n)] dF_stat dF_sys
1.00 1.17 1.08 5.22e1 0.14e1 0.36e1
1.17 1.36 1.26 4.78e1 0.13e1 0.33e1
1.36 1.58 1.47 4.02e1 0.11e1 0.28e1
1.58 1.85 1.71 3.21e1 0.09e1 0.22e1
1.85 2.15 2.00 2.62e1 0.08e1 0.18e1
2.15 2.51 2.33 2.17e1 0.06e1 0.15e1
2.51 2.93 2.71 1.81e1 0.05e1 0.12e1
2.93 3.42 3.16 1.37e1 0.04e1 0.09e1
3.42 3.98 3.69 9.77 0.35 0.67
3.98 4.64 4.29 7.67 0.28 0.53
4.64 5.41 4.98 5.71 0.23 0.39
5.41 6.31 5.84 3.98 0.06 0.32
6.31 7.36 6.80 2.83 0.04 0.22
7.36 8.58 7.94 2.07 0.03 0.16
8.58 10.0 9.24 1.48 0.03 0.12
10.0 11.7 10.8 1.02 0.02 0.08
11.7 13.6 12.6 6.76e-1 0.16e-1 0.54e-1
13.6 15.8 14.7 4.71e-1 0.12e-1 0.38e-1
15.8 18.5 17.0 3.27e-1 0.10e-1 0.26e-1
18.5 21.5 19.9 2.13e-1 0.07e-1 0.17e-1
21.5 25.1 23.2 1.46e-1 0.05e-1 0.12e-1
25.1 29.3 27.1 9.67e-2 0.41e-2 0.79e-2
29.3 34.1 31.4 5.89e-2 0.30e-2 0.48e-2
34.1 39.8 36.7 4.23e-2 0.24e-2 0.35e-2
39.8 46.4 42.9 2.85e-2 0.18e-2 0.24e-2
46.4 54.1 49.9 1.84e-2 0.13e-2 0.15e-2
54.1 73.6 62.5 9.40e-3 0.92e-3 0.90e-3
73.6 100. 86.1 4.14e-3 0.53e-3 0.41e-3
100. 136. 116. 2.16e-3 0.33e-3 0.22e-3
136. 251. 175. 5.53e-4 0.92e-4 0.64e-4
