#E1[GeV] E2[GeV] E[GeV] F[/m^2/sr/s/GeV] dF_stat dF_sys
1.00 1.17 1.08 3.50e2 0.03e2 0.11e2
1.17 1.36 1.26 3.22e2 0.03e2 0.10e2
1.36 1.58 1.47 2.98e2 0.02e2 0.09e2
1.58 1.85 1.71 2.71e2 0.02e2 0.08e2
1.85 2.15 2.00 2.41e2 0.02e2 0.07e2
2.15 2.51 2.33 2.08e2 0.02e2 0.06e2
2.51 2.93 2.71 1.74e2 0.01e2 0.05e2
2.93 3.42 3.16 1.45e2 0.01e2 0.04e2
3.42 3.98 3.69 1.19e2 0.01e2 0.03e2
3.98 4.64 4.30 9.52e1 0.08e1 0.27e1
4.64 5.41 5.01 7.35e1 0.07e1 0.21e1
5.41 6.31 5.84 5.63e1 0.05e1 0.16e1
6.31 7.36 6.81 4.34e1 0.04e1 0.12e1
7.36 8.58 7.93 3.15e1 0.03e1 0.09e1
8.58 10.0 9.25 2.25e1 0.03e1 0.06e1
10.0 11.7 10.8 1.59e1 0.01e1 0.05e1
11.7 13.6 12.6 1.12e1 0.01e1 0.04e1
13.6 15.8 14.7 7.71 0.04 0.28
15.8 18.5 17.1 5.33 0.03 0.20
18.5 21.5 19.9 3.63 0.02 0.14
21.5 25.1 23.2 2.48 0.02 0.10
25.1 29.3 27.1 1.62 0.01 0.06
29.3 34.1 31.6 1.09 0.01 0.04
34.1 39.8 36.8 7.17e-1 0.08e-1 0.30e-1
39.8 46.4 42.9 4.84e-1 0.06e-1 0.21e-1
46.4 54.1 50.0 3.15e-1 0.05e-1 0.14e-1
54.1 63.1 58.3 2.07e-1 0.03e-1 0.09e-1
63.1 73.6 68.0 1.34e-1 0.03e-1 0.06e-1
73.6 85.8 79.2 9.09e-2 0.19e-2 0.43e-2
85.8 100. 92.3 5.75e-2 0.14e-2 0.28e-2
100. 126. 112. 3.43e-2 0.11e-2 0.18e-2
126. 158. 140. 1.98e-2 0.07e-2 0.11e-2
158. 200. 177. 1.00e-2 0.05e-2 0.06e-2
200. 251. 222. 5.42e-3 0.31e-3 0.34e-3
251. 316. 281. 2.46e-3 0.19e-3 0.17e-3
316. 398. 352. 1.62e-3 0.14e-3 0.14e-3
398. 541. 463. 7.47e-4 0.69e-4 0.78e-4
