# $Id: abdo2008_electron.dat,v 1.1 2009/05/28 16:14:02 oxon Exp $
# E1[GeV] E2[GeV] F[GeV^2/s/m^2/sr] dF1 dF2 dF3
23.6 26.0 151.6 1.2 7.3 8.3
26.0 28.7 152.6 0.9 6.2 7.3
28.7 31.7 151.4 0.8 5.1 6.5
31.7 35.0 151.3 1.8 5.2 6.5
35.0 38.8 149.6 0.7 4.4 5.8
38.8 43.1 150.2 0.7 4.5 6.0
43.1 48.0 148.6 0.7 4.9 6.2
48.0 53.7 146.5 0.7 4.9 6.1
53.7 60.4 145.5 0.7 5.0 7.1
60.4 68.2 143.2 0.7 5.6 6.8
68.2 77.4 141.9 0.8 5.6 7.0
77.4 88.1 140.8 0.8 6.2 7.0
88.1 101. 139.0 0.9 6.4 6.8
101. 116. 139.0 0.9 6.4 7.2
116. 133. 139.4 1.0 6.9 7.2
133. 154. 139.5 1.2 7.2 7.4
154. 180. 140.8 1.3 6.9 7.4
180. 210. 142.3 1.5 7.1 7.4
210. 246. 140.9 1.7 7.4 6.8
246. 291. 140.9 1.9 7.5 6.7
291. 346. 140.4 2.2 6.7 7.0
346. 415. 139.4 2.6 7.0 7.2
415. 503. 134.0 3.1 9.3 7.5
503. 615. 127.4 4.1 8.7 8.6
615. 772. 115.8 4.8 15.2 10.9
772. 1000 114.4 6.5 19.1 17.8
