# $Id: menn2000_alpha.dat,v 1.1 2009/05/25 17:55:40 oxon Exp $
#E1[GeV] E2[GeV] E[GeV] F[/m^2/sr/s/GeV] dF1 dF2
0.23 0.27 0.25 1.65 0.06 0.15 2
0.27 0.33 0.30 1.77 0.05 0.16 2
0.33 0.40 0.36 1.67 0.04 0.15 2
0.40 0.50 0.45 1.58 0.03 0.14 2
0.50 0.63 0.56 1.38 0.02 0.12 2
0.63 0.80 0.71 1.12 0.02 0.10 2
0.80 1.02 0.90 9.12 0.15 0.81 1
1.02 1.31 1.16 7.15 0.12 0.64 1
1.31 1.68 1.48 5.12 0.09 0.46 1
1.68 2.15 1.90 3.47 0.07 0.31 1
2.15 2.77 2.44 2.23 0.05 0.20 1
2.77 3.56 3.13 1.34 0.03 0.12 1
3.56 4.59 4.04 7.84 0.21 0.70 0
4.59 5.91 5.19 4.36 0.14 0.39 0
5.91 7.62 6.67 2.46 0.09 0.22 0
7.62 9.82 8.62 1.51 0.06 0.14 0
9.8 12.7 11.1 7.30 0.39 0.65 -1
12.7 16.3 14.3 3.68 0.25 0.33 -1
16.3 21.0 18.6 2.44 0.18 0.22 -1
21.0 27.1 23.8 1.15 0.11 0.10 -1
27.1 35.0 30.4 6.66 0.74 0.60 -2
35.0 45.1 39.2 2.76 0.42 0.25 -2
45.1 58.2 50.9 1.32 0.26 0.12 -2
58.2 75.1 65.5 7.69 1.68 0.78 -3
75.1 96.8 84.6 2.66 0.84 0.33 -3
97 125 108 2.07 0.62 0.34 -3
