# $Id: bellotti1999_proton.dat,v 1.1 2009/05/25 17:55:41 oxon Exp $
#E1[GeV] E2[GeV] E[GeV] F[/m^2/sr/s/GeV] dF
2.55 2.95 2.77 23.10 0.48
2.95 3.41 3.21 51.84 0.71
3.41 3.93 3.68 86.90 0.92
3.93 4.52 4.22 83.46 0.85
4.52 5.19 4.85 67.66 0.72
5.19 5.95 5.56 54.80 0.60
5.95 6.81 6.36 42.04 0.48
6.81 7.78 7.28 32.83 0.40
7.78 8.89 8.31 24.90 0.32
8.89 10.1 9.49 19.18 0.26
10.1 11.6 10.8 13.90 0.21
11.6 13.2 12.3 10.66 0.17
13.2 15.1 14.1 7.63 0.13
15.1 17.2 16.1 5.52 0.10
17.2 19.7 18.3 3.89 0.08
19.7 22.5 21.0 2.79 0.06
22.5 25.7 24.0 1.95 0.05
25.7 29.5 27.5 1.40 0.04
29.5 33.9 31.6 0.961 0.029
33.9 39.0 36.3 0.652 0.022
39.0 52.2 44.8 0.360 0.010
52.2 71.0 60.3 0.167 0.006
71.0 99.1 83.0 0.072 0.003
